team,sport,wins,losses,pct,source,players
Kolbe Cathedral,boys-basketball,12,10,0.545,ciac,[]
Kolbe Cathedral,girls-basketball,13,11,0.542,ciac,[]
La Salle Academy,girls-basketball,0,0,0.0,none,[]
La Salle Academy,boys-basketball,0,0,0.0,none,[]
Lakeview,boys-basketball,0,0,0.0,none,[]
Lakeview,girls-basketball,0,0,0.0,none,[]
Lauralton Hall,girls-basketball,10,11,0.476,ciac,[]
Ledyard,girls-basketball,20,4,0.833,ciac,[]
Ledyard,boys-basketball,13,9,0.591,ciac,[]
Lewis Mills,girls-basketball,17,6,0.739,ciac,[]
Lewis Mills,boys-basketball,9,12,0.429,ciac,[]
Libertas Academy Charter Schoo,boys-basketball,0,0,0.0,none,[]
Longmeadow MA High School,boys-basketball,0,0,0.0,none,[]
Lyman Hall,boys-basketball,7,13,0.35,ciac,[]
Lyman Hall,girls-basketball,7,15,0.318,ciac,[]
Lyman Memorial,boys-basketball,3,17,0.15,ciac,[]
Lyman Memorial,girls-basketball,4,17,0.19,ciac,[]
Lyme-Old Lyme,girls-basketball,0,0,0.0,none,[]
Lyme-Old Lyme,boys-basketball,0,0,0.0,none,[]
Maloney,girls-basketball,2,18,0.1,ciac,[]
Maloney,boys-basketball,16,7,0.696,ciac,[]
Manchester,girls-basketball,3,17,0.15,ciac,[]
Manchester,boys-basketball,0,21,0.0,ciac,[]
Masuk,boys-basketball,6,14,0.3,ciac,[]
Masuk,girls-basketball,10,13,0.435,ciac,[]
Medfield Senior High School,girls-basketball,0,0,0.0,none,[]
Mercy,girls-basketball,20,2,0.909,ciac,[]
Middletown,boys-basketball,11,11,0.5,ciac,[]
Middletown,girls-basketball,1,19,0.05,ciac,[]
Minnechaug Regional High Schoo,boys-basketball,0,0,0.0,none,[]
Minnechaug Regional High Schoo,girls-basketball,0,0,0.0,none,[]
Montville,girls-basketball,8,14,0.364,ciac,[]
Montville,boys-basketball,11,11,0.5,ciac,[]
Morgan,boys-basketball,8,14,0.364,ciac,[]
Morgan,girls-basketball,22,2,0.917,ciac,[]
NFA,girls-basketball,7,16,0.304,ciac,[]
NFA,boys-basketball,12,10,0.545,ciac,[]
Naugatuck,boys-basketball,12,10,0.545,ciac,[]
Naugatuck,girls-basketball,11,11,0.5,ciac,[]
New Britain,boys-basketball,11,11,0.5,ciac,[]
New Britain,girls-basketball,19,3,0.864,ciac,[]
New Canaan,boys-basketball,16,6,0.727,ciac,[]
New Canaan,girls-basketball,10,11,0.476,ciac,[]
